Handle,ObjType,Content,Layer,Extra
BD9CCC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997325200000117
BD9CCD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997325200000117
BD9CD7,BlockReference,"L-SECLBL",L-SECLBL,0.999465039999997
BD9CDD,MText,"L.S. 1",L-SECTION-LSD,9.989303661822277
BD9CDE,MText,"L.S. 2",L-SECTION-LSD,9.989303661822277
BD9CE0,MText,"L.S. 8",L-SECTION-LSD,9.989303661822277
BD9CE1,MText,"L.S. 7",L-SECTION-LSD,9.989303661822277
BD9D2E,MText,"Rge. 20",D-TXT,13.985025126551172
BD9D2F,MText,"Rge. 19",D-TXT,13.985025126551172
BD9DDA,BlockReference,"GAS",DRILL-T,4.994651830911121
BDB7A6,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994650400000154
BDB824,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991440640000382
BDB826,MText,"Theor. S.W.1/4  Sec. 24-62-20-W.5M.",C-SYMBOL,20.000000000000266
BDB827,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994650400000154
BDB82A,BlockReference,"GAS",DRILL-T,4.994651830911121
BDB82E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997320099999991
BDB82F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997320099999991
BDB891,MText,"ATCO 3-Wire O/H Powerline",AS-POWER,9.994640199999981
BDBC5F,MText,"Theor. S.E.1/4  Sec. 24-62-20-W.5M.",C-SYMBOL,19.97860732364453
BDBC60,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991440640000382
BDBC66,MText,"L.S. 3",L-SECTION-LSD,9.994650400000001
BDBC68,MText,"L.S. 4",L-SECTION-LSD,9.994650400000001
BDBC6A,MText,"L.S. 6",L-SECTION-LSD,9.994650400000001
BDBC6C,MText,"L.S. 5",L-SECTION-LSD,9.994650400000001
BDBFA1,DBText,"76m",AUX-BUFFER,9.994650399762605
BDBFB3,BlockReference,"HRV",CG-NOTES,0.9989303661822199
BDC19C,AlignedDimension,"{ 1.2x;<> W. calc.}",P-OFFSETS,CG2011
BDC19F,AlignedDimension,"{  Narrow|b1|i0|c0|p34; 1.4x; 14;<> E. calc.}",P-OFFSETS,CG2011
BDC1A0,AlignedDimension,"{ 1.2x;<> N. calc.}",P-OFFSETS,CG2011
BDC1A3,AlignedDimension,"{  Narrow|b1|i0|c0|p34; 1.4x; 14;<> S. calc.}",P-OFFSETS,CG2011
BDC2B6,MText,"FC661EXT E",L-BD,9.994640199999981
BDC2B7,MText,"FC661EXT G",L-BD,9.989303661822216
BDC2B8,MText,"FC661EXT H",L-BD,9.989303661822216
BDC30D,AlignedDimension,"Whitecap 20.00 A/R  232212",C-AR-T,Compass 5 000
BDC30F,AlignedDimension,"Whitecap 20.00 A/R  232212",C-AR-T,Compass 5 000
BDC310,AlignedDimension,"Whitecap 20.00 P/L R/W  240720",C-AR-T,Compass 5 000
BDC311,AlignedDimension,"Whitecap 20.00 P/L R/W  241243",C-RW-T,Compass 5 000
BDC312,AlignedDimension,"Whitecap 20.00 P/L R/W  241243",C-RW-T,Compass 5 000
BDC313,MText,"Whitecap FC661 7-24 (Surface) MSL 231768",C-WS-T,9.994640199999981
BDC315,MText,"Whitecap FC661 7-24 (Surface) MSL 231768",C-WS-T,10.000000000000133
BDC318,AlignedDimension,"TexCal 30.48 A/R  6516 (Expired)",F-AR-T,Compass 5 000
BDC319,AlignedDimension,"TexCal 20.00 A/R  920968 (Expired)",F-AR-T,Compass 5 000
BDC31B,AlignedDimension,"PGI 7.00 A/R  241184",F-AR-T,Compass 5 000
BDC31C,AlignedDimension,"Paramount 20.12 A/R  1035",F-AR-T,Compass 5 000
BDC31D,MText,"Trace 8.00 A/R LOC 190533 (Expired)",F-AR-T,10.000000000000128
BDC320,AlignedDimension,"TexCal 30.48 A/R  9776",F-AR-T,Compass 5 000
