Handle,ObjType,Content,Layer,Extra
AFA8BA,BlockReference,"L-SECLBL",L-SECLBL,1
AFD99E,BlockReference,"GAS",F-WS-S,4.997325200000118
AFD99F,MText,"Paramount 4-24 (Surface) MSL 407",F-WS-T,10.005352463353931
AFD9A9,MText,"Trace Waste Management Site MLL 190059 (Expired)",F-RW-T,9.994650400000266
AFD9BC,MText,"Trace 8.00 A/R LOC 190533 (Expired)",F-AR-T,10.005352463353931
AFD9D1,AlignedDimension,"Paramount 22.86 P/L R/W  911 RS  3235",F-RW-T,Compass 5 000
AFDA11,AlignedDimension,"ATCO 7.50 Vegetation Control R/W  890416",F-EZE-T,Compass 5 000
AFDA39,AlignedDimension,"Texcal 30.48 A/R  9776",F-AR-T,Compass 5 000
AFE274,AlignedDimension,"Texcal 7.62 P/L R/W  762 2395  6098",F-RW-T,Compass 5 000
AFE2EE,AlignedDimension,"Texcal 20.12 P/L R/W  4038",F-RW-T,Compass 5 000
AFE31E,MText,"Northward Tower Site DML 000018",F-WS-T,10.005352463353931
AFE320,AlignedDimension,"ATCO 15.00 Power Line R/W  000187",F-EZE-T,Compass 5 000
AFE39E,AlignedDimension,"PGI 50.48 A/R  2439",F-WS-T,Compass 5 000
AFE3E5,AlignedDimension,"Telus 20.12 Cable R/W  3568",F-RW-T,Compass 5 000
AFEC7C,AlignedDimension,"Paramount 20.12 A/R  1035",F-AR-T,Compass 5 000
AFF59B,AlignedDimension,"ATCO 6.10 Power Line R/W  2527",F-EZE-T,Compass 5 000
AFF5CC,AlignedDimension,"Texcal 30.48 A/R  6516 (Expired)",F-AR-T,Compass 5 000
AFF642,AlignedDimension,"Texcal 15.00 P/L R/W  892 0544  880372",F-RW-T,Compass 5 000
AFF66F,AlignedDimension,"Texcal 10.06 P/L R/W  4037",F-RW-T,Compass 5 000
AFF69B,MText,"Texcal Plant Site MLL 3071 (Expired)",F-RW-T,9.994650400000266
AFFE8A,AlignedDimension,"Texcal 10.06 P/L R/W  752 1416  5577",F-RW-T,Compass 5 000
