Handle,ObjType,Content,Layer,Extra
BC602B,BlockReference,"L-SECLBL",L-SECLBL,1
BC72AE,BlockReference,"TEMP",L-MON,4.99733024999997
BC7931,BlockReference,"label_road_theoretic",CG-NOTES,0.99946605
BC7932,BlockReference,"label_road_theoretic",CG-NOTES,0.99946605
BC7935,MText,"L.S. 1",L-SECTION-LSD,9.99466049999994
BC7936,MText,"L.S. 2",L-SECTION-LSD,9.99466049999994
BC7938,MText,"L.S. 8",L-SECTION-LSD,9.99466049999994
BC7939,MText,"L.S. 7",L-SECTION-LSD,9.99466049999994
BC7B3E,MText,"5m High Grade Gravel Road",AS-GENERAL,9.99466049999994
BC7C15,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,15.99145679999991
BC7C17,MText,"SEE EVIDENCE DETAIL",L-DETAIL-T,15.99145679999991
BC871C,BlockReference,"L-SECLBL",L-SECLBL,1
BC872E,BlockReference,"L-SECLBL",L-SECLBL,1
BC8775,BlockReference,"L-SECLBL",L-SECLBL,1
BC89A7,BlockReference,"plbh",L-MON,4.997330249999972
BC89B6,BlockReference,"plbh",L-MON,4.997330249999972
BC89BC,BlockReference,"plbh",L-MON,4.997330249999972
BC89C2,BlockReference,"plbh",L-MON,4.997330249999972
BC89C6,BlockReference,"plbh",L-MON,4.997330249999972
BC8B82,BlockReference,"plbh",L-MON,4.997330249999972
BC8B85,BlockReference,"plbh",L-MON,4.997330249999972
BC8B87,BlockReference,"L-SECLBL",L-SECLBL,1
BC8B9C,BlockReference,"plbh",L-MON,4.997330249999972
BC8B9D,BlockReference,"L-SECLBL",L-SECLBL,1
BC8D07,BlockReference,"L-SECLBL",L-SECLBL,1
BC8ED9,BlockReference,"plbh",L-MON,4.997330249999973
BC8EDD,BlockReference,"plbh",L-MON,4.997330249999973
BC90A2,BlockReference,"plbh",L-MON,4.997330249999972
BC90A4,BlockReference,"plbh",L-MON,4.997330249999973
BC90A8,BlockReference,"plbh",L-MON,4.997330249999973
BC90AB,BlockReference,"plbh",L-MON,4.997330249999972
BC90AF,BlockReference,"plbh",L-MON,4.997330249999973
BC9EBE,AlignedDimension,"Sinopec\P20.00 A/R\PLOC 230164",F-AR-T,Compass 5 000
BCA391,BlockReference,"UT",L-UNS-T,0.99946605
BCA392,MText,"Theor. S.E.1/4 
Sec. 28-61-20-W.5M.",C-SYMBOL,19.989320999999894
BCA642,BlockReference,"L-SECLBL",L-SECLBL,1
BCBC90,AlignedDimension,"Sinopec\P20.00 A/R\PLOC 230164",F-AR-T,Compass 5 000
BCBCAF,BlockReference,"FDI",L-MON,4.997330249999979
BCBCB8,BlockReference,"FDI",L-MON,4.997330249999979
BCBCB9,AlignedDimension,"Cenovus\P15.00 P/L R/W\PPlan 072 6001\PPLA 031128",F-RW-T,Compass 5 000
BCBD05,MText,"Fd.I.
Mp.",L-MON,9.994660499999958
BCBD2E,BlockReference,"Linebrk",L-TIE,4997.330249999984
BCBD36,DBText,"371.28 (Tie)",L-BD,9.994660499999958
BCBF31,MText,"EVIDENCE DETAIL
SCALE 1:5000",DETAIL-T,19.989320999999915
BCC55D,MText,"ICP",0,9.994660499999958
BCC55F,MText,"ICP",0,9.994660499999958
BD05EE,BlockReference,"GAS",F-WS-S,4.999999999999979
BD05F1,BlockReference,"GAS",F-WS-S,4.999999999999979
BD05F4,BlockReference,"GAS",F-WS-S,4.999999999999979
BD063F,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0642,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0645,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0648,BlockReference,"GAS",F-WS-S,4.999999999999979
BD065A,BlockReference,"GAS",F-WS-S,4.999999999999979
BD065D,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0660,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0663,BlockReference,"GAS",F-WS-S,4.999999999999979
BD066F,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0675,BlockReference,"GAS",F-WS-S,4.999999999999979
BD067B,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0681,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0684,BlockReference,"GAS",F-WS-S,4.999999999999979
BD0687,BlockReference,"GAS",F-WS-S,4.999999999999979
BD068A,BlockReference,"GAS",F-WS-S,4.999999999999979
BD2422,MText,"Sinopec
5-27 (Surface)
MSL 230125",F-WS-T,9.999999999999957
BD2700,MText,"Cenovus
3-15",AS-DRILL-T,9.999999999999957
BD2701,MText,"Cenovus
1-15",AS-DRILL-T,9.999999999999957
BD2702,MText,"Cenovus
13-15",AS-DRILL-T,9.999999999999957
BD2703,MText,"Sinopec
7-22 (DD)",F-WS-S,9.999999999999957
BD270B,MText,"Sinopec
5-22",AS-DRILL-T,9.999999999999957
BD270C,MText,"Sinopec
10-22",AS-DRILL-T,9.999999999999957
BD270D,MText,"Sinopec
16-22",AS-DRILL-T,9.999999999999957
BD270E,MText,"Cenovus
1-27",AS-DRILL-T,9.999999999999957
BD270F,MText,"CNRL
2-27 (HZ)",AS-DRILL-T,9.999999999999957
BD28A2,MText,"CNRL
7-27 (HZ)",AS-DRILL-T,9.999999999999957
BD28A3,MText,"Cenovus
3-27",AS-DRILL-T,9.999999999999957
BD28A4,MText,"Cenovus
102/3-27",AS-DRILL-T,9.999999999999957
BD28A5,MText,"Sinopec
5-27",AS-DRILL-T,9.999999999999957
BD28AD,MText,"Cenovus
5-28",AS-DRILL-T,9.999999999999957
BD28B5,MText,"12-28
(Abd.)",AS-DRILL-T,9.999999999999957
BD28B6,BlockReference,"GABD",AS-DRILL-T,4.999999999999979
BD28BE,MText,"CNRL
2-27 (HZ)",AS-DRILL-T,9.999999999999957
BD28C6,MText,"CNRL
7-27 (HZ)",AS-DRILL-T,9.999999999999957
BD293D,MText,"CNRL
13-28 (HZ)",AS-DRILL-T,9.999999999999957
BD2945,MText,"CNRL
16-28 (HZ)",AS-DRILL-T,9.999999999999957
BD294D,MText,"CNRL
15-29 (HZ)",AS-DRILL-T,9.999999999999957
BD2955,MText,"CNRL
13-29 (HZ)",AS-DRILL-T,9.999999999999957
BD2956,BlockReference,"GABD",AS-DRILL-T,4.999999999999979
BD2957,MText,"6-29 (DD)
(Abd.)",AS-DRILL-T,9.994660499999961
BD295F,MText,"Paramount
3-29",F-WS-S,9.999999999999957
BD2B30,MText,"Peyto
102/10-30",F-WS-S,9.999999999999957
BD2D28,MText,"Whitecap
102/13-11 (HZ)",F-WS-S,9.999999999999957
BD2D33,MText,"Paramount
2-30",F-WS-S,9.999999999999957
BD2D3B,MText,"Peyto
11-30",F-WS-S,9.999999999999957
BD2D43,BlockReference,"GABD",AS-DRILL-T,4.999999999999979
BD2D44,MText,"10-30
(Abd.)",AS-DRILL-T,9.994660499999961
BD2D4C,MText,"Peyto
5-31",F-WS-S,9.999999999999957
BD3118,MText,"Razor
8-32",F-WS-S,9.994660499999961
BD32E8,MText,"CNRL
1-32 (HZ)",AS-DRILL-T,9.999999999999957
BD32F0,MText,"Paramount
10-32 (DD)
(Abd.)",AS-DRILL-T,9.999999999999957
BD32F8,BlockReference,"GABD",AS-DRILL-T,4.999999999999979
BD3301,MText,"Rge. 21",D-TXT,13.992524699999962
BD3302,MText,"Rge. 20",D-TXT,13.992524699999962
BD3303,MText,"Rge. 21",D-TXT,13.992524699999962
BD3304,MText,"Rge. 20",D-TXT,13.992524699999962
BD3305,MText,"Rge. 21",D-TXT,13.992524699999962
BD3306,MText,"Rge. 20",D-TXT,13.992524699999962
BD553B,BlockReference,"L-SECLBL",L-SECLBL,2.998398149999988
BD5594,BlockReference,"L-SECLBL",L-SECLBL,2.998398149999988
BD559A,BlockReference,"L-SECLBL",L-SECLBL,2.998398149999988
